STATION_ID,DNR_PARAMETER_CODE,START_DATE_TIME,RESULT_AMT,RESULT_VALUE_NO,LOD_AMT,UniqueID,result,PramName,Sample_code,Year,Ecoregion
43097,600,7/29/2019 10:15,0.274,0.274,0.075,043097_2019,0.274,TN,2019-30,2019,Northern Lakes and Forests
43097,600,9/15/2020 0:00,0.149,0.149,0.058,043097_2020,0.149,TN,2020-67,2020,Northern Lakes and Forests
43097,600,7/20/2021 12:00,0.16,0.16,0.058,043097_2021,0.16,TN,2021-47,2021,Northern Lakes and Forests
43097,600,8/29/2022 10:30,0.164,0.164,0.058,043097_2022,0.164,TN,2022-28,2022,Northern Lakes and Forests
43097,608,7/16/2018 10:30,NA,ND,0.015,043097_2018,0.0075,NH3_N,2018-15,2018,Northern Lakes and Forests
43097,608,7/29/2019 10:15,NA,ND,0.015,043097_2019,0.0075,NH3_N,2019-30,2019,Northern Lakes and Forests
43097,608,9/15/2020 0:00,NA,ND,0.017,043097_2020,0.0085,NH3_N,2020-67,2020,Northern Lakes and Forests
43097,608,7/20/2021 12:00,NA,ND,0.012,043097_2021,0.006,NH3_N,2021-47,2021,Northern Lakes and Forests
43097,608,8/29/2022 10:30,NA,ND,0.012,043097_2022,0.006,NH3_N,2022-28,2022,Northern Lakes and Forests
43097,631,7/16/2018 10:30,0.0668,0.0668,0.036,043097_2018,0.0668,NO2+NO3,2018-15,2018,Northern Lakes and Forests
43097,631,7/29/2019 10:15,0.0615,0.0615,0.036,043097_2019,0.0615,NO2+NO3,2019-30,2019,Northern Lakes and Forests
43097,631,9/15/2020 0:00,0.0589,0.0589,0.04,043097_2020,0.0589,NO2+NO3,2020-67,2020,Northern Lakes and Forests
43097,631,7/20/2021 12:00,0.0619,0.0619,0.055,043097_2021,0.0619,NO2+NO3,2021-47,2021,Northern Lakes and Forests
43097,631,8/29/2022 10:30,0.0637,0.0637,0.055,043097_2022,0.0637,NO2+NO3,2022-28,2022,Northern Lakes and Forests
43097,665,7/16/2018 10:30,0.0263,0.0263,0.005,043097_2018,0.0263,TP,2018-15,2018,Northern Lakes and Forests
43097,665,7/29/2019 10:15,0.0289,0.0289,0.008,043097_2019,0.0289,TP,2019-30,2019,Northern Lakes and Forests
43097,665,9/15/2020 0:00,0.0186,0.0186,0.008,043097_2020,0.0186,TP,2020-67,2020,Northern Lakes and Forests
43097,665,7/20/2021 12:00,0.0201,0.0201,0.009,043097_2021,0.0201,TP,2021-47,2021,Northern Lakes and Forests
43097,665,8/29/2022 10:30,0.0169,0.0169,0.009,043097_2022,0.0169,TP,2022-28,2022,Northern Lakes and Forests
10008151,665,8/22/2016 12:30,0.391,0.391,0.005,10008151_2016,0.391,TP,2016-77,2016,Southeastern Wisconsin Till Plains
10008194,600,10/25/2017 10:45,1.75,1.75,0.075,10008194_2017,1.75,TN,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,600,9/2/2021 13:00,1.8,1.8,0.058,10008194_2021,1.8,TN,2021-35,2021,Southeastern Wisconsin Till Plains
10008194,600,8/17/2022 14:38,2.11,2.11,0.058,10008194_2022,2.11,TN,2022-20,2022,Southeastern Wisconsin Till Plains
10008194,608,5/25/2017 12:00,0.0199,0.0199,0.015,10008194_2017,0.0199,NH3_N,2017-21,2017,Southeastern Wisconsin Till Plains
10008194,608,6/26/2017 11:00,0.0302,0.0302,0.015,10008194_2017,0.0302,NH3_N,2017-21,2017,Southeastern Wisconsin Till Plains
